parameter,sparsity,loss,top1_acc
layer1.0.conv2,0.7000000000000001,0.7219518934249878,0.7854999899864197
layer1.0.conv2,0.75,0.728118856048584,0.7859999537467957
layer1.0.conv2,0.8,0.7285892101287842,0.7835999727249146
layer1.0.conv2,0.8500000000000001,0.7462281995773316,0.7791000008583069
layer1.0.conv2,0.9,0.7634286344528198,0.7752999663352966
layer1.0.conv2,0.9500000000000001,0.8053130514144897,0.7631999850273132
layer1.1.conv1,0.0,0.7166622844696044,0.7874999642372131
layer1.1.conv1,0.05,0.7166653743743896,0.7876999974250793
layer1.1.conv1,0.1,0.7171275968551636,0.7870000004768372
layer1.1.conv1,0.15000000000000002,0.7192256935119629,0.7858999967575073
layer1.1.conv1,0.2,0.7202355960845948,0.7858999967575073
layer1.1.conv1,0.25,0.7222306276321411,0.7856999635696411
layer1.1.conv1,0.30000000000000004,0.7203443925857544,0.7856999635696411
layer1.1.conv1,0.35000000000000003,0.7185292011260986,0.7853999733924866
layer1.1.conv1,0.4,0.7126126308441162,0.7878999710083008
layer1.1.conv1,0.45,0.7070474927902222,0.7879999876022339
layer1.1.conv1,0.5,0.7085435495376587,0.7864999771118164
layer1.1.conv1,0.55,0.7048463760375977,0.7860999703407288
layer1.1.conv1,0.6000000000000001,0.7057375776290894,0.7865999937057495
layer1.1.conv1,0.65,0.7097180721282959,0.7824999690055847
layer1.1.conv1,0.7000000000000001,0.7190409683227539,0.7813000082969666
layer1.1.conv1,0.75,0.7522440181732177,0.7764999866485596
layer1.1.conv1,0.8,0.7486018123626709,0.7734000086784363
layer1.1.conv1,0.8500000000000001,0.7752544282913209,0.7630999684333801
layer1.1.conv1,0.9,0.7864669918060303,0.7592999935150146
layer1.1.conv1,0.9500000000000001,0.8282242372512817,0.7462999820709229
layer1.1.conv2,0.0,0.7166622844696044,0.7874999642372131
layer1.1.conv2,0.05,0.7166685201644898,0.7877999544143677
layer1.1.conv2,0.1,0.7159294662475586,0.7877999544143677
layer1.1.conv2,0.15000000000000002,0.717570782661438,0.7866999506950378
layer1.1.conv2,0.2,0.71687066822052,0.7861999869346619
layer1.1.conv2,0.25,0.7172021593093872,0.7859999537467957
layer1.1.conv2,0.30000000000000004,0.7143262786865234,0.7874999642372131
layer1.1.conv2,0.35000000000000003,0.7169880836486816,0.7877999544143677
layer1.1.conv2,0.4,0.7180591604232788,0.7861999869346619
layer1.1.conv2,0.45,0.715241763305664,0.7871999740600586
layer1.1.conv2,0.5,0.7105652114868164,0.7877999544143677
layer1.1.conv2,0.55,0.7101409395217896,0.7877999544143677
layer1.1.conv2,0.6000000000000001,0.7076420894622802,0.7879999876022339
layer1.1.conv2,0.65,0.7074785753250122,0.7860999703407288
layer1.1.conv2,0.7000000000000001,0.7121314010620117,0.7849999666213989
layer1.1.conv2,0.75,0.7337607326507568,0.7805999517440796
layer1.1.conv2,0.8,0.7500461734771728,0.7774999737739563
layer1.1.conv2,0.8500000000000001,0.765655122756958,0.774899959564209
layer1.1.conv2,0.9,0.8143789329528809,0.7601000070571899
layer1.1.conv2,0.9500000000000001,0.9037166486740112,0.7440999746322632
layer2.0.conv1,0.0,0.7166622844696044,0.7874999642372131
layer2.0.conv1,0.05,0.716940378189087,0.7875999808311462
layer2.0.conv1,0.1,0.7181511371612549,0.7870999574661255
layer2.0.conv1,0.15000000000000002,0.7174009883880615,0.7876999974250793
layer2.0.conv1,0.2,0.7167408708572388,0.7872999906539917
layer2.0.conv1,0.25,0.7186322559356689,0.7857999801635742
layer2.0.conv1,0.30000000000000004,0.7141115119934082,0.7863999605178833
layer2.0.conv1,0.35000000000000003,0.7123217720031738,0.7876999974250793
layer2.0.conv1,0.4,0.7112014835357666,0.7870000004768372
layer2.0.conv1,0.45,0.7271293943405152,0.7829999923706055
layer2.0.conv1,0.5,0.7300641246795654,0.7806999683380127
layer2.0.conv1,0.55,0.7460324459075928,0.7787999510765076
layer2.0.conv1,0.6000000000000001,0.7456842340469361,0.7775999903678894
layer2.0.conv1,0.65,0.7338046444892883,0.7788999676704407
layer2.0.conv1,0.7000000000000001,0.7633091341972351,0.7726999521255493
layer2.0.conv1,0.75,0.8055905331611634,0.7642999887466431
layer2.0.conv1,0.8,0.8535669897079468,0.7500999569892883
layer2.0.conv1,0.8500000000000001,0.8887519783020019,0.7418999671936035
layer2.0.conv1,0.9,1.162357420539856,0.6751999855041504
layer2.0.conv1,0.9500000000000001,1.6569989700317382,0.5476999878883362
layer2.0.conv2,0.0,0.7166622844696044,0.7874999642372131
layer2.0.conv2,0.05,0.7163609706878662,0.7876999974250793
layer2.0.conv2,0.1,0.7160623397827148,0.788100004196167
layer2.0.conv2,0.15000000000000002,0.7169815980911255,0.7875999808311462
layer2.0.conv2,0.2,0.7188537685394287,0.7865999937057495
layer2.0.conv2,0.25,0.7217643594741822,0.7859999537467957
layer2.0.conv2,0.30000000000000004,0.7238338911056519,0.7847999930381775
layer2.0.conv2,0.35000000000000003,0.7234158193588257,0.7841999530792236
layer2.0.conv2,0.4,0.7191070402145385,0.7856999635696411
layer2.0.conv2,0.45,0.7258657665252686,0.7842999696731567
layer2.0.conv2,0.5,0.7300348625183105,0.78329998254776
layer2.0.conv2,0.55,0.7331382190704345,0.7823999524116516
layer2.0.conv2,0.6000000000000001,0.7421725114822387,0.7806999683380127
layer2.0.conv2,0.65,0.746123480796814,0.776699960231781
layer2.0.conv2,0.7000000000000001,0.7554105848312378,0.7754999995231628
layer2.0.conv2,0.75,0.767582437133789,0.7723999619483948
layer2.0.conv2,0.8,0.7838251728057861,0.7663999795913696
layer2.0.conv2,0.8500000000000001,0.8336064622879028,0.7544999718666077
layer2.0.conv2,0.9,0.9090727493286133,0.731499969959259
layer2.0.conv2,0.9500000000000001,1.0783484392166138,0.6834999918937683
layer2.0.downsample.0,0.0,0.7166622844696044,0.7874999642372131
layer2.0.downsample.0,0.05,0.7173655429840088,0.7874999642372131
layer2.0.downsample.0,0.1,0.719568819618225,0.786799967288971
layer2.0.downsample.0,0.15000000000000002,0.7207708526611328,0.7870000004768372
layer2.0.downsample.0,0.2,0.71621096534729,0.7878999710083008
layer2.0.downsample.0,0.25,0.7142353845596313,0.7875999808311462
layer2.0.downsample.0,0.30000000000000004,0.7119166206359864,0.7883999943733215
layer2.0.downsample.0,0.35000000000000003,0.7124733613967895,0.786899983882904
layer2.0.downsample.0,0.4,0.7119559672355652,0.7860999703407288
layer2.0.downsample.0,0.45,0.7191280492782592,0.7856000065803528
layer2.0.downsample.0,0.5,0.7199717315673828,0.784500002861023
layer2.0.downsample.0,0.55,0.729079638671875,0.7831999659538269
layer2.0.downsample.0,0.6000000000000001,0.7335073146820068,0.78329998254776
layer2.0.downsample.0,0.65,0.7457051696777344,0.7780999541282654
layer2.0.downsample.0,0.7000000000000001,0.7458418217658996,0.7745999693870544
layer2.0.downsample.0,0.75,0.763599191570282,0.7735999822616577
layer2.0.downsample.0,0.8,0.7830560690879822,0.7670999765396118
layer2.0.downsample.0,0.8500000000000001,0.8059728165626526,0.76419997215271
layer2.0.downsample.0,0.9,0.9281285112380981,0.7358999848365784
layer2.0.downsample.0,0.9500000000000001,1.236567700767517,0.6699000000953674
layer2.1.conv1,0.0,0.7166622844696044,0.7874999642372131
layer2.1.conv1,0.05,0.716716150856018,0.7876999974250793
layer2.1.conv1,0.1,0.7168328134536743,0.7866999506950378
layer2.1.conv1,0.15000000000000002,0.7166368389129638,0.7874000072479248
layer2.1.conv1,0.2,0.7163397653579712,0.7872999906539917
layer2.1.conv1,0.25,0.7166398496627807,0.7866999506950378
layer2.1.conv1,0.30000000000000004,0.719540962600708,0.7870999574661255
layer2.1.conv1,0.35000000000000003,0.7195933544158936,0.786799967288971
layer2.1.conv1,0.4,0.7138474622726441,0.788100004196167
layer2.1.conv1,0.45,0.7131214668273925,0.7874999642372131
layer2.1.conv1,0.5,0.7161020437240601,0.7871999740600586
layer2.1.conv1,0.55,0.7180858444213867,0.7851999998092651
layer2.1.conv1,0.6000000000000001,0.7113480903625489,0.786300003528595
layer2.1.conv1,0.65,0.7206092674255371,0.7856999635696411
layer2.1.conv1,0.7000000000000001,0.7194354867935181,0.7840999960899353
layer2.1.conv1,0.75,0.7173071580886841,0.7849999666213989
layer2.1.conv1,0.8,0.7142559844970703,0.7820999622344971
layer2.1.conv1,0.8500000000000001,0.705088524723053,0.7836999893188477
layer2.1.conv1,0.9,0.6977235554695129,0.7821999788284302
layer2.1.conv1,0.9500000000000001,0.7308527352333068,0.7687000036239624
layer2.1.conv2,0.0,0.7166622844696044,0.7874999642372131
layer2.1.conv2,0.05,0.7167982746124267,0.7874999642372131
layer2.1.conv2,0.1,0.7164870506286621,0.7870000004768372
layer2.1.conv2,0.15000000000000002,0.7162402114868164,0.7874999642372131
layer2.1.conv2,0.2,0.7166910205841065,0.7874000072479248
layer2.1.conv2,0.25,0.7187304430007935,0.786300003528595
layer2.1.conv2,0.30000000000000004,0.7191853279113769,0.7854999899864197
layer2.1.conv2,0.35000000000000003,0.716840641784668,0.7871999740600586
layer2.1.conv2,0.4,0.7163293077468872,0.7874000072479248
layer2.1.conv2,0.45,0.7139729633331299,0.7871999740600586
layer2.1.conv2,0.5,0.7145917678833008,0.7863999605178833
layer2.1.conv2,0.55,0.7127959095001221,0.786300003528595
layer2.1.conv2,0.6000000000000001,0.7149596031188965,0.785099983215332
layer2.1.conv2,0.65,0.7224151138305664,0.7841999530792236
layer2.1.conv2,0.7000000000000001,0.7164731929779052,0.7824999690055847
layer2.1.conv2,0.75,0.7259006427764892,0.7813999652862549
layer2.1.conv2,0.8,0.7326436685562134,0.7795000076293945
layer2.1.conv2,0.8500000000000001,0.7503044845581055,0.7735999822616577
layer2.1.conv2,0.9,0.78845824508667,0.7658999562263489
layer2.1.conv2,0.9500000000000001,0.8979613626480103,0.7355999946594238
layer3.0.conv1,0.0,0.7166622844696044,0.7874999642372131
layer3.0.conv1,0.05,0.7165020469665527,0.7876999974250793
layer3.0.conv1,0.1,0.7161669918060303,0.7870999574661255
layer3.0.conv1,0.15000000000000002,0.7158631889343262,0.7871999740600586
layer3.0.conv1,0.2,0.7154802770614624,0.7878999710083008
layer3.0.conv1,0.25,0.716074711227417,0.7870000004768372
layer3.0.conv1,0.30000000000000004,0.7163705606460571,0.786799967288971
layer3.0.conv1,0.35000000000000003,0.7173216213226319,0.7852999567985535
layer3.0.conv1,0.4,0.7176366622924805,0.7841999530792236
layer3.0.conv1,0.45,0.7182675619125366,0.7838999629020691
layer3.0.conv1,0.5,0.7179689413070679,0.78329998254776
layer3.0.conv1,0.55,0.7123261668205261,0.784500002861023
layer3.0.conv1,0.6000000000000001,0.7139410067558288,0.7833999991416931
layer3.0.conv1,0.65,0.7169733953475952,0.7828999757766724
layer3.0.conv1,0.7000000000000001,0.7191105821609497,0.7802000045776367
layer3.0.conv1,0.75,0.7290299621582031,0.7746999859809875
layer3.0.conv1,0.8,0.7383591701507568,0.7685999870300293
layer3.0.conv1,0.8500000000000001,0.7386712173461915,0.7645999789237976
layer3.0.conv1,0.9,0.7913858446121216,0.7427999973297119
layer3.0.conv1,0.9500000000000001,0.9393174005508422,0.6836000084877014
layer3.0.conv2,0.0,0.7166622844696044,0.7874999642372131
layer3.0.conv2,0.05,0.7166393302917481,0.7877999544143677
layer3.0.conv2,0.1,0.7166857368469238,0.7876999974250793
layer3.0.conv2,0.15000000000000002,0.7168956569671631,0.7872999906539917
layer3.0.conv2,0.2,0.7169486616134644,0.7870999574661255
layer3.0.conv2,0.25,0.7169292978286743,0.7872999906539917
layer3.0.conv2,0.30000000000000004,0.7170030254364014,0.7874000072479248
layer3.0.conv2,0.35000000000000003,0.7144303871154785,0.7870999574661255
layer3.0.conv2,0.4,0.713512784576416,0.7865999937057495
layer3.0.conv2,0.45,0.7119191215515137,0.7870000004768372
layer3.0.conv2,0.5,0.7099356397628784,0.786899983882904
layer3.0.conv2,0.55,0.7067168546676635,0.7874000072479248
layer3.0.conv2,0.6000000000000001,0.7038619258880615,0.7875999808311462
layer3.0.conv2,0.65,0.7010710174560547,0.7871999740600586
layer3.0.conv2,0.7000000000000001,0.6992545211791992,0.7872999906539917
layer3.0.conv2,0.75,0.6946952230453491,0.7846999764442444
layer3.0.conv2,0.8,0.6916177160263062,0.7831999659538269
layer3.0.conv2,0.8500000000000001,0.6900834325790405,0.7795000076293945
layer3.0.conv2,0.9,0.7042309923171997,0.7721999883651733
layer3.0.conv2,0.9500000000000001,0.7721345716476441,0.7396000027656555
layer3.0.downsample.0,0.0,0.7166622844696044,0.7874999642372131
layer3.0.downsample.0,0.05,0.7167108388900757,0.7874999642372131
layer3.0.downsample.0,0.1,0.7167818887710571,0.7875999808311462
layer3.0.downsample.0,0.15000000000000002,0.7165341421127319,0.7876999974250793
layer3.0.downsample.0,0.2,0.7167729133605957,0.7874999642372131
layer3.0.downsample.0,0.25,0.7159697534561157,0.7875999808311462
layer3.0.downsample.0,0.30000000000000004,0.7165309259414673,0.7870999574661255
layer3.0.downsample.0,0.35000000000000003,0.7173043516159058,0.7870999574661255
layer3.0.downsample.0,0.4,0.7168749801635742,0.786799967288971
layer3.0.downsample.0,0.45,0.7163011924743652,0.7870999574661255
layer3.0.downsample.0,0.5,0.7192523286819458,0.7871999740600586
layer3.0.downsample.0,0.55,0.7205233236312866,0.7861999869346619
layer3.0.downsample.0,0.6000000000000001,0.7216569086074829,0.7864999771118164
layer3.0.downsample.0,0.65,0.7210337448120118,0.7864999771118164
layer3.0.downsample.0,0.7000000000000001,0.7218151760101318,0.7866999506950378
